id,rating,word_count,first_person_pronoun_count,third_person_pronoun_count,verb_count,adjective_count,superlative_count,readability_ari,extremity
77,4,177,10,8,29,22,1,7.562655367231635,0
78,5,13,1,0,2,0,0,4.634615384615387,1
79,3,98,1,1,15,11,0,6.1068367346938786,0
80,5,163,10,7,37,21,0,8.141506475800952,1
81,5,163,4,3,36,9,1,3.505856536101934,1
82,4,20,0,1,3,4,0,3.569333333333333,0
83,5,158,4,4,25,20,0,4.470295358649789,1
84,5,76,4,3,17,6,2,1.884122807017544,1
85,5,18,0,1,3,4,0,2.956666666666667,1
86,5,34,3,0,7,5,0,6.539901960784313,1
87,5,29,2,1,7,2,0,4.029885057471262,1
88,5,9,0,0,2,1,0,3.323333333333334,1
89,5,88,3,3,18,6,0,5.974356060606059,1
90,4,20,2,0,5,3,0,1.7035000000000018,0
91,5,50,0,2,12,3,0,2.047666666666668,1
92,5,9,1,1,1,2,0,0.706666666666667,1
93,2,719,38,21,126,63,1,9.25359614047288,0
94,1,15,0,0,3,2,0,6.192999999999998,1
95,5,4,0,0,0,2,0,8.829999999999998,1
96,5,1,0,0,0,1,0,12.04,1
97,5,33,2,4,6,0,0,4.518181818181816,1
98,5,75,4,3,19,3,0,4.162400000000002,1
99,4,4,0,0,0,1,0,8.829999999999998,0
100,5,132,9,4,25,12,0,4.56492424242424,1
101,4,23,0,0,3,5,0,2.5376086956521746,0
102,5,205,16,7,43,19,1,6.452474501108647,1
103,1,51,2,4,13,2,0,2.492058823529412,1
104,1,53,7,3,12,2,0,21.51056603773585,1
105,1,70,3,4,16,5,0,3.8044285714285735,1
106,3,74,3,2,21,5,0,7.932972972972973,0
107,5,230,9,12,48,21,0,6.522371237458195,1
108,5,35,2,0,8,4,0,3.5124761904761925,1
109,4,116,3,4,21,13,1,57.155948275862066,0
110,5,22,2,0,1,3,0,2.1471212121212133,1
111,2,100,6,5,23,10,0,5.696233333333332,0
112,1,174,9,8,44,6,0,8.961724137931032,1
113,1,24,0,1,5,2,0,4.52,1
114,5,277,14,7,60,18,0,7.217839092315625,1
115,3,119,7,10,28,6,0,4.524705882352944,0
116,5,43,3,2,9,5,0,19.78627906976744,1
117,4,128,14,6,25,13,0,9.768437500000001,0
118,5,23,2,1,4,2,0,0.7026086956521738,1
119,5,28,0,0,7,3,0,6.9332142857142856,1
120,5,5,1,0,0,1,0,-0.08999999999999986,1
121,4,9,1,0,0,3,0,9.080000000000002,0
122,4,176,4,3,35,18,1,6.102954545454548,0
123,3,336,21,12,63,28,0,4.62026785714286,0
124,5,74,1,5,14,7,0,3.9189189189189193,1
125,4,35,0,1,4,10,0,2.188714285714287,0
126,5,7,0,0,1,3,0,8.66952380952381,1
127,5,14,3,0,3,0,0,4.74642857142857,1
128,3,168,4,2,22,18,2,14.041785714285716,0
129,2,23,0,0,5,4,0,4.585434782608697,0
130,5,24,1,1,5,3,0,0.4662500000000023,1
131,5,87,7,0,19,7,0,2.974630541871921,1
132,1,150,4,5,31,7,2,2.5685000000000002,1
133,5,17,2,0,4,2,0,4.122156862745097,1
134,3,157,5,4,30,20,0,14.490000000000002,0
135,1,37,1,2,9,4,0,2.2556756756756755,1
136,1,80,6,3,17,8,0,4.076666666666668,1
137,5,24,1,0,3,2,0,0.625,1
138,5,177,8,5,27,18,6,4.901638418079095,1
139,5,17,0,0,5,3,0,3.5994117647058843,1
140,4,69,1,5,14,7,0,6.3080434782608705,0
141,2,51,0,2,9,7,0,4.17235294117647,0
142,5,26,2,0,4,2,0,8.598461538461539,1
143,3,73,1,4,10,7,0,6.857602739726026,0
144,4,5,0,0,1,0,0,3.6779999999999973,0
145,5,31,1,1,5,4,0,1.8174193548387123,1
146,5,54,2,5,10,5,0,5.38111111111111,1
147,4,133,6,5,21,15,1,1.720191387559808,0
148,4,72,3,3,10,5,0,33.410000000000004,0
149,5,70,2,4,14,7,0,8.784142857142857,1
150,4,314,13,3,53,34,1,7.87222222222222,0
151,5,4,0,0,0,0,1,-4.122500000000002,1
152,3,124,5,2,24,10,0,9.376639784946235,0
153,5,7,0,3,2,0,0,-4.204285714285714,1
154,5,156,10,7,34,12,0,8.250934065934064,1
155,5,32,1,0,5,7,1,1.4931249999999991,1
