id,word_count,first_person_pronoun_count,third_person_pronoun_count,verb_count,adjective_count,superlative_count,readability_ari,extremity
1965,32,0,3,7,4,0,2.1545833333333313,1
1966,115,6,5,19,8,0,9.164028985507244,1
1967,13,1,1,2,1,0,4.272307692307692,1
1968,55,1,1,10,13,0,6.249818181818185,0
1969,54,1,1,8,4,0,5.339444444444446,1
1970,84,5,4,15,10,0,8.165,0
1971,110,10,4,29,9,0,7.090484848484849,1
1972,142,12,2,30,12,1,6.517183098591548,1
1973,55,4,0,7,7,0,7.367909090909091,1
1974,26,2,0,7,3,0,6.265000000000001,1
1975,129,5,2,19,17,0,6.730852713178297,0
1976,10,0,0,1,2,0,5.236000000000001,0
1977,25,1,1,4,0,0,1.9644000000000013,1
1978,7,0,0,2,1,0,6.965714285714288,1
1979,21,1,1,4,2,0,2.2557142857142836,1
